A,T,rl_no_obs,smc_no_obs,rl_obs,smc_obs
0.334818265,5.142857143,-10.27515696,-2.672653383,-0.307640193,-2.672653383
0.334818265,5.357142857,-11.03754875,-2.667147049,-0.277098925,-2.667147049
0.334818265,5.571428571,-11.24886635,-2.672600182,-0.257311729,-2.672600182
0.334818265,5.785714286,-11.42269558,-2.683420381,-0.250362972,-2.683420381
0.334818265,6,-11.27011594,-2.693672844,-0.257790146,-2.693672844
0.352627747,3,-6.874504297,-2.268168256,-0.708202374,-2.268168256
0.352627747,3.214285714,-8.179117317,-2.540193096,-0.507030199,-2.540193096
0.352627747,3.428571429,-11.88120638,-2.827522376,-0.354689694,-2.827522376
0.352627747,3.642857143,-12.95156447,-2.942573996,-0.315585173,-2.942573996
0.352627747,3.857142857,-11.43311832,-2.935587738,-0.349844083,-2.935587738
0.352627747,4.071428571,-10.58674158,-2.880251265,-0.369107732,-2.880251265
0.352627747,4.285714286,-10.57252367,-2.802658035,-0.367296601,-2.802658035
0.352627747,4.5,-10.01836559,-2.752768358,-0.346949625,-2.752768358
0.352627747,4.714285714,-9.919292481,-2.726547139,-0.354788686,-2.726547139
0.352627747,4.928571429,-9.763129688,-2.706095474,-0.347949196,-2.706095474
0.352627747,5.142857143,-10.31573859,-2.689286023,-0.3100461,-2.689286023
0.352627747,5.357142857,-10.68050281,-2.682251175,-0.278712614,-2.682251175
0.352627747,5.571428571,-10.72154441,-2.687768895,-0.27040509,-2.687768895
0.352627747,5.785714286,-11.13966351,-2.699623883,-0.259730789,-2.699623883
0.352627747,6,-11.78530756,-2.710851078,-0.269014879,-2.710851078
0.370437229,3,-7.521284398,-2.277337969,-0.790454992,-2.277337969
0.370437229,3.214285714,-8.661057475,-2.560587016,-0.548374781,-2.560587016
0.370437229,3.428571429,-11.58023423,-2.861678347,-0.387575241,-2.861678347
0.370437229,3.642857143,-13.05522095,-2.980634069,-0.338033171,-2.980634069
0.370437229,3.857142857,-12.42991731,-2.971807331,-0.363155024,-2.971807331
0.370437229,4.071428571,-11.43609803,-2.91347238,-0.375066155,-2.91347238
0.370437229,4.285714286,-10.62168663,-2.829606501,-0.374291955,-2.829606501
0.370437229,4.5,-10.29771571,-2.776260302,-0.363488563,-2.776260302
0.370437229,4.714285714,-10.03402639,-2.748746818,-0.349705535,-2.748746818
0.370437229,4.928571429,-10.25681593,-2.726326389,-0.339049948,-2.726326389
0.370437229,5.142857143,-9.940081354,-2.707130362,-0.328436758,-2.707130362
0.370437229,5.357142857,-10.26028663,-2.698427158,-0.297304794,-2.698427158
0.370437229,5.571428571,-10.62839939,-2.703916572,-0.273078427,-2.703916572
0.370437229,5.785714286,-11.41798468,-2.716838198,-0.273519278,-2.716838198
0.370437229,6,-11.90261085,-2.729078252,-0.282436785,-2.729078252
0.388246711,3,-6.807625956,-2.288877116,-0.838876029,-2.288877116
0.388246711,3.214285714,-7.70555399,-2.583149303,-0.593756013,-2.583149303
0.388246711,3.428571429,-11.84232065,-2.89790389,-0.405175844,-2.89790389
0.388246711,3.642857143,-12.3168637,-3.020560822,-0.354072428,-3.020560822
0.388246711,3.857142857,-12.19218856,-3.009766296,-0.391975209,-3.009766296
0.388246711,4.071428571,-12.07327614,-2.948421633,-0.40518584,-2.948421633
0.388246711,4.285714286,-10.7229637,-2.858097853,-0.403245687,-2.858097853
0.388246711,4.5,-9.94937987,-2.801171515,-0.401326573,-2.801171515
0.388246711,4.714285714,-10.07377178,-2.772374281,-0.376792746,-2.772374281
